Method:QS1pL,Times,Comparisons,Size: 10000,,Method:QS1pM,Times,Comparisons,Size: 10000,,Method:QS1pR,Times,Comparisons,Size: 10000,,Method:QS2pR,Times,Comparisons,Size: 10000,,Method:QS3pR,Times,Comparisons,Size: 10000,,Method:QS2pRPre,Times,Comparisons,Size: 10000,,Method:QS3pRPre,Times,Comparisons,Size: 10000,
,0.02836315900003683,245150,,,,0.044203420000030746,232085,,,,0.03332307900006981,257598,,,,0.037435431000062636,126354,,,,0.029728170999987924,114810,,,,0.06109645799995178,179049,,,,0.060842456999921524,179819,,
,0.029442270999993525,244914,,,,0.03995861800001421,237855,,,,0.028451292999989164,241759,,,,0.0263870929999257,131873,,,,0.028296886000021004,111007,,,,0.052313727999944604,187235,,,,0.050004790000002686,191646,,
,0.023421786000085376,244309,,,,0.043570455000008224,238883,,,,0.029545256999995217,259930,,,,0.02718034199995145,129079,,,,0.024013480999997228,112953,,,,0.08074945999999272,186385,,,,0.05328795400009767,184396,,
,0.023023022999950626,230020,,,,0.040401032999966446,250546,,,,0.03491324499998427,252706,,,,0.03139065799996388,125750,,,,0.0236881399999902,113443,,,,0.05995625400009885,182030,,,,0.0616926530000228,187167,,
,0.03273411499992562,235719,,,,0.047291835000009996,246102,,,,0.026821614000027694,245144,,,,0.025823875000014596,127483,,,,0.03184430999999677,115506,,,,0.06116175600004681,177002,,,,0.05211376800002654,179623,,
,0.023503965000031712,240614,,,,0.04227861899994423,240469,,,,0.0322171510000544,244577,,,,0.028880521000019144,126189,,,,0.025069450000046345,111303,,,,0.054154152000023714,178347,,,,0.053676537999990614,177624,,
,0.026311266999982763,229134,,,,0.04398202400000173,238411,,,,0.026521285000058015,242548,,,,0.028951310000024932,125527,,,,0.026437932000021647,110512,,,,0.05311809299996639,184885,,,,0.0591426109999702,172871,,
,0.025721027999907164,239093,,,,0.05228370500003621,244045,,,,0.029879081999979462,244265,,,,0.0374675750000506,126138,,,,0.023619545000087783,109809,,,,0.05838607200007573,182878,,,,0.057837425999991865,188148,,
,0.030412923999961095,236680,,,,0.04192822699997123,233395,,,,0.031597216000022854,243566,,,,0.025876161000041975,124877,,,,0.02713159900008577,110754,,,,0.06011778200002027,179778,,,,0.05084416299996519,176097,,
,0.024768289000007826,227670,,,,0.0439306600000009,241272,,,,0.030728083999974842,248164,,,,0.03306974499992066,132842,,,,0.02463009099994906,112894,,,,0.05678855600001498,185212,,,,0.05608572899996034,185706,,
,0.03025196800001595,229422,,,,0.048251711999910185,253606,,,,0.029005055000084212,243300,,,,0.025754360999940218,123862,,,,0.03341666799997256,114014,,,,0.05645395200008352,183466,,,,0.05939602900002683,184439,,
,0.022996691999992436,236787,,,,0.045519590000026255,244393,,,,0.034969909999972515,244676,,,,0.03371795399993971,129446,,,,0.023982222999961778,109909,,,,0.060103148999928635,189808,,,,0.054685253000002376,180249,,
